2022-06-22,PO0001,IT1,Stethscope,Outpatient Department,150,EA,48,7200,V135,WellSky,Yes,1020,mauris ullamcorper purus,FP,2021-12-07,2022-05-02,21,48,Johnson & Johnson,301,EA,EA,1
2022-08-11,PO0002,IT2,Scissor,Surgical Department,5,EA,4,20,V672,Rivet,Yes,1001,diam vitae quam suspendisse,CR,2021-05-06,2022-10-04,21,64,Teleflex,315,EA,EA,1
2021-08-24,PO0003,IT3,Stretcher,Paramedical Department,2000,EA,34,68000,V522,FGA Inc,Yes,1012,sed,FP,2021-09-03,2023-01-18,21,96,3M Company,372,EA,EA,1
2021-05-31,PO0004,IT4,Magnifier,Paramedical Department,8,EA,29,232,V797,Quadax Inc,Yes,1003,nulla tellus,FP,2021-11-08,2022-12-10,2,99,Terumo,351,EA,EA,1
2022-11-13,PO0005,IT5,Weighing Scale,Surgical Department,20,EA,5,100,V486,OmniSys,Yes,1009,quis,FP,2021-07-01,2023-02-23,2,93,Nipro,347,EA,EA,1
2022-01-16,PO0006,IT6,Torch,Paramedical Department,5,EA,35,175,V658,Etactics,Yes,1019,rutrum neque aenean,FP,2021-01-16,2022-07-14,2,76,Poly Medicure Ltd,318,EA,EA,1
2021-06-22,PO0007,IT7,Face Mask,Nursing Department,1,EA,47,47,V565,HealthXNet,Yes,1008,sapien dignissim,TM,2021-06-10,2022-12-30,10,39,Ribbel International Ltd,378,EA,EA,1
2022-10-10,PO0008,IT8,First Aid Kit,Outpatient Department,10,EA,6,60,V453,CompMed,Yes,1010,ac nulla sed vel,FP,2021-01-12,2022-12-01,15,72,Advin Healthcare,324,EA,EA,1
2021-10-23,PO0009,IT9,Gloves,Nursing Department,2,EA,10,20,V878,Ritiko LLC,Yes,1005,ultrices mattis odio donec,CR,2021-01-07,2022-11-23,16,17,Aegis Lifesciences Private Limited,398,EA,EA,1
2022-05-04,PO0010,IT10,Scalpel,Nursing Department,5,EA,30,150,V222,Ability Network,Yes,1006,eleifend quam a odio,FP,2021-07-12,2022-04-10,13,46,Smiths Medical,365,EA,EA,1
2021-10-11,PO0011,IT11,Microscope,Radiology Department,1200,EA,25,30000,V971,Prevounce Health,Yes,1016,lectus aliquam sit,FP,2021-05-07,2023-01-18,1,94,Cardinal Health,372,EA,EA,1
2021-10-11,PO0011,IT11,Microscope,Radiology Department,1200,EA,25,30000,V971,Prevounce Health,Yes,1010,gravida,TM,2021-12-11,2022-05-15,1,94,Cardinal Health,372,EA,EA,1
2021-09-03,PO0012,IT12,Otoscope,Nursing Department,150,EA,48,7200,V624,Noble House,Yes,1009,sit amet justo morbi,FP,2021-06-11,2022-07-10,20,68,Becton Dickinson,390,EA,EA,1
2022-09-10,PO0013,IT13,Thermometer,Surgical Department,35,EA,32,1120,V090,eSolutions,Yes,1013,accumsan odio,FP,2021-11-19,2022-04-15,20,7,General Electric,350,EA,EA,1
2022-09-08,PO0014,IT14,Saline Bag,Surgical Department,12,EA,19,228,V501,Experian Health Inc,Yes,1001,purus,TM,2021-11-28,2022-05-07,22,39,Medtronic PLC,335,EA,EA,1
2022-09-06,PO0015,IT15,Syringe,Paramedical Department,35,EA,2,70,V213,Eligible Inc,Yes,1014,ante,TM,2021-05-07,2023-01-27,22,99,Siemens Healthineers,307,EA,EA,1
2021-07-18,PO0016,IT16,X-ray Machine,Nursing Department,2000,EA,41,82000,V928,Cerner Health Services HDX,Yes,1004,leo,CR,2021-07-31,2022-10-21,13,96,Johnson & Johnson,301,EA,EA,1
2021-04-22,PO0017,IT17,Bandag,Radiology Department,2,EA,15,30,V653,myhELO,Yes,1007,est,FP,2021-11-20,2022-11-10,5,95,Teleflex,315,EA,EA,1
2022-02-03,PO0018,IT18,Crutches,Surgical Department,13,EA,7,91,V971,Prevounce Health,Yes,1016,lectus aliquam sit,FP,2021-05-07,2023-01-18,23,82,3M Company,372,EA,EA,1
2022-02-03,PO0018,IT18,Crutches,Surgical Department,13,EA,7,91,V971,Prevounce Health,Yes,1010,gravida,TM,2021-12-11,2022-05-15,23,82,3M Company,372,EA,EA,1
2021-09-05,PO0019,IT19,Plaster,Outpatient Department,10,EA,11,110,V305,Toyon Associates Inc,Yes,1019,lacus curabitur at ipsum,FP,2021-12-30,2022-05-14,16,2,Terumo,351,EA,EA,1
2022-11-06,PO0020,IT20,Cotton Wool,Radiology Department,10,EA,19,190,V425,Healthcare IP,Yes,1020,venenatis turpis enim blandit,FP,2021-11-16,2022-08-19,13,2,Nipro,347,EA,EA,1
2022-05-30,PO0021,IT21,Surgical Mask,Surgical Department,1,EA,41,41,V135,WellSky,Yes,1020,mauris ullamcorper purus,FP,2021-12-07,2022-05-02,16,30,Poly Medicure Ltd,318,EA,EA,1
2022-04-02,PO0022,IT22,Oxygen Mask,Surgical Department,12,EA,22,264,V672,Rivet,Yes,1001,diam vitae quam suspendisse,CR,2021-05-06,2022-10-04,19,80,Ribbel International Ltd,378,EA,EA,1
2021-10-22,PO0023,IT23,Dropper,Nursing Department,1,EA,45,45,V522,FGA Inc,Yes,1012,sed,FP,2021-09-03,2023-01-18,16,70,Advin Healthcare,324,EA,EA,1
2021-07-31,PO0024,IT24,Needle,Surgical Department,5,EA,7,35,V797,Quadax Inc,Yes,1003,nulla tellus,FP,2021-11-08,2022-12-10,1,28,Aegis Lifesciences Private Limited,398,EA,EA,1
